iter	Passed	Remaining
0	610	304558
1	614	152980
2	621	103013
3	625	77559
4	630	62403
5	634	52229
6	640	45095
7	644	39631
8	648	35389
9	654	32083
10	659	29298
11	662	26956
12	666	24970
13	672	23335
14	676	21869
15	680	20596
16	686	19511
17	691	18528
18	696	17637
19	703	16873
20	706	16121
21	711	15456
22	716	14849
23	722	14323
24	726	13799
25	730	13310
26	736	12901
27	740	12485
28	744	12096
29	749	11736
30	754	11407
31	758	11090
32	762	10791
33	768	10530
34	774	10290
35	779	10040
36	785	9830
37	789	9603
38	794	9387
39	799	9197
40	804	9004
41	808	8816
42	812	8634
43	816	8462
44	824	8339
45	832	8217
46	841	8110
47	846	7975
48	853	7852
49	859	7731
50	864	7612
51	873	7526
52	878	7409
53	882	7291
54	889	7194
55	894	7088
56	898	6986
57	905	6900
58	910	6808
59	917	6726
60	921	6634
61	926	6548
62	931	6464
63	937	6389
64	942	6306
65	947	6228
66	954	6166
67	958	6091
68	963	6020
69	968	5952
70	974	5885
71	980	5828
72	986	5769
73	991	5706
74	999	5662
75	1004	5601
76	1008	5541
77	1014	5489
78	1018	5429
79	1022	5370
80	1028	5322
81	1033	5270
82	1038	5218
83	1045	5176
84	1050	5128
85	1055	5080
86	1060	5032
87	1064	4983
88	1069	4937
89	1073	4892
90	1080	4854
91	1084	4811
92	1090	4771
93	1097	4739
94	1102	4699
95	1106	4658
96	1112	4621
97	1117	4581
98	1125	4559
99	1130	4521
100	1135	4486
101	1146	4473
102	1151	4437
103	1159	4416
104	1165	4383
105	1172	4359
106	1178	4327
107	1183	4295
108	1191	4272
109	1195	4239
110	1200	4208
111	1209	4188
112	1213	4155
113	1218	4124
114	1226	4107
115	1232	4081
116	1241	4064
117	1247	4037
118	1254	4015
119	1259	3989
120	1264	3959
121	1271	3939
122	1276	3912
123	1280	3883
124	1286	3860
125	1291	3833
126	1296	3807
127	1301	3783
128	1307	3760
129	1311	3733
130	1318	3714
131	1322	3687
132	1327	3664
133	1334	3645
134	1339	3621
135	1343	3596
136	1348	3572
137	1353	3551
138	1358	3528
139	1363	3505
140	1369	3486
141	1373	3463
142	1378	3440
